event_date,contract,source_market,target_market,lag_minute,FEVD
2026-03-18,0bp,KAL,CME,1,5.3448727998185595e-06
2026-03-18,0bp,KAL,CME,5,5.893501188541914e-05
2026-03-18,0bp,KAL,CME,30,0.00048438936858419284
2026-03-18,0bp,KAL,CME,60,0.0007391228886760039
2026-03-18,0bp,PM,KAL,1,0.0016763871151057976
2026-03-18,0bp,PM,KAL,5,0.0017536708974764238
2026-03-18,0bp,PM,KAL,30,0.003859229122321369
2026-03-18,0bp,PM,KAL,60,0.0040462883377085385
2026-03-18,0bp,KAL,PM,1,0.0018568981536335935
2026-03-18,0bp,KAL,PM,5,0.0018585271486867086
2026-03-18,0bp,KAL,PM,30,0.0025108672636019206
2026-03-18,0bp,KAL,PM,60,0.0026653144297132613
2026-04-29,0bp,CME,PM,1,4.8313740397869536e-05
2026-04-29,0bp,CME,PM,5,0.00039777924156123246
2026-04-29,0bp,CME,PM,30,0.0006144478944132722
2026-04-29,0bp,CME,PM,60,0.0009185758476405772
2026-04-29,0bp,PM,CME,1,0.00011321959690379905
2026-04-29,0bp,PM,CME,5,0.00014774584344592065
2026-04-29,0bp,PM,CME,30,0.0005474304660690805
2026-04-29,0bp,PM,CME,60,0.0008567215015025476
2026-04-29,0bp,CME,KAL,1,1.1068273609052274e-05
2026-04-29,0bp,CME,KAL,5,0.0001087787581718362
2026-04-29,0bp,CME,KAL,30,0.0006879473807468797
2026-04-29,0bp,CME,KAL,60,0.0010420435292895216
2026-04-29,0bp,KAL,CME,1,1.3763068105178652e-05
2026-04-29,0bp,KAL,CME,5,5.3137103828001125e-05
2026-04-29,0bp,KAL,CME,30,0.000296943299379494
2026-04-29,0bp,KAL,CME,60,0.000493290199169618
2026-04-29,0bp,PM,KAL,1,0.0003403383398782825
2026-04-29,0bp,PM,KAL,5,0.0006167597151741221
2026-04-29,0bp,PM,KAL,30,0.0007965981635156708
2026-04-29,0bp,PM,KAL,60,0.0009421793052626685
2026-04-29,0bp,KAL,PM,1,0.001744154380399241
2026-04-29,0bp,KAL,PM,5,0.0017644847956503537
2026-04-29,0bp,KAL,PM,30,0.005080694696167385
2026-04-29,0bp,KAL,PM,60,0.0053421824165922945
